Wall time,Step,Value
1633521633.8759916,137,0.9203000068664551
1633521836.1713142,138,0.9204000234603882
1633522038.8534887,139,0.9121999740600586
1633522242.5950427,140,0.9156000018119812
1633522445.1696022,141,0.9179999828338623
1633522647.815786,142,0.9222000241279602
1633522851.5089417,143,0.9247999787330627
1633523054.0467844,144,0.9197999835014343
1633523256.5050936,145,0.9190000295639038
1633523460.6309485,146,0.9225999712944031
1633523662.6847837,147,0.9169999957084656
1633523865.3924117,148,0.9178000092506409
1633524069.0495403,149,0.9146000146865845
1633524271.7514954,150,0.9182000160217285
1633524473.95363,151,0.9236999750137329
1633524677.4648256,152,0.9212999939918518
1633524880.2119524,153,0.914900004863739
1633525082.5749278,154,0.9164999723434448
1633525285.880934,155,0.920799970626831
1633525488.7103345,156,0.9186000227928162
1633525691.0372348,157,0.9111999869346619
1633525894.1327262,158,0.9157000184059143
1633526097.3916152,159,0.9218000173568726
1633526299.6395702,160,0.9172000288963318
1633526502.3536248,161,0.921500027179718
1633526705.9300482,162,0.9205999970436096
1633526908.190631,163,0.9182999730110168
1633527110.6451359,164,0.9253000020980835
1633527314.432773,165,0.9200999736785889
1633527516.53504,166,0.9239000082015991
1633527718.9257724,167,0.9211000204086304
1633527922.525736,168,0.9265000224113464
1633528124.5913754,169,0.9243000149726868
1633528326.9781663,170,0.9211999773979187
1633528498.8647437,171,0.9301999807357788
1633528617.983496,172,0.925599992275238
1633528736.9399524,173,0.9277999997138977
1633528866.63232,174,0.9248999953269958
1633529007.47357,175,0.9258999824523926
1633529148.0946665,176,0.9253000020980835
1633529288.8871644,177,0.925599992275238
1633529429.6177163,178,0.9214000105857849
1633529570.6355948,179,0.920799970626831
1633529711.4616592,180,0.9217000007629395
1633529852.1859474,181,0.9233999848365784
1633529992.814288,182,0.9297999739646912
1633530133.6715167,183,0.9222999811172485
1633530274.8149562,184,0.926800012588501
1633530415.7799118,185,0.9211000204086304
1633530556.6014676,186,0.9243000149726868
1633530697.5326614,187,0.9229000210762024
1633530838.4043508,188,0.9279000163078308
1633530979.4224732,189,0.9225000143051147
1633531120.3482583,190,0.9271000027656555
1633531261.4665966,191,0.9269000291824341
1633531402.2492712,192,0.9247000217437744
1633531543.1201186,193,0.9293000102043152
1633531684.2210753,194,0.9244999885559082
1633531825.1069582,195,0.9279999732971191
1633531966.2827466,196,0.9253000020980835
1633532107.115704,197,0.9279999732971191
1633532248.3326645,198,0.9251999855041504
1633532389.5243282,199,0.9253000020980835
1633532530.5412624,200,0.9273999929428101
1633532671.5259154,201,0.9276000261306763
1633532812.3682075,202,0.9286999702453613
1633532953.3420463,203,0.9283999800682068
1633533094.609028,204,0.9301999807357788
1633533235.6433437,205,0.9258000254631042
1633533376.4560747,206,0.9269999861717224
1633533517.2401292,207,0.9262999892234802
1633533658.217044,208,0.9265999794006348
1633533799.2528272,209,0.9269000291824341
1633533940.1600432,210,0.927299976348877
1633534080.9856472,211,0.9276000261306763
1633534221.8698902,212,0.928600013256073
1633534363.1632411,213,0.9271000027656555
1633534504.1760736,214,0.9290000200271606
1633534645.066681,215,0.9283000230789185
1633534786.0060034,216,0.9304999709129333
1633534927.3591857,217,0.9276000261306763
1633535068.3912213,218,0.9305999875068665
1633535209.7275202,219,0.9286999702453613
1633535350.7622452,220,0.9277999997138977
1633535491.6684933,221,0.9329000115394592
1633535632.9934886,222,0.9312000274658203
1633535774.0890133,223,0.9305999875068665
1633535915.0933492,224,0.9319999814033508
1633536056.0115547,225,0.930899977684021
1633536196.8699582,226,0.9223999977111816
1633536337.8976538,227,0.930899977684021
1633536478.8443656,228,0.9348000288009644
1633536620.2147872,229,0.9336000084877014
1633536761.2178667,230,0.9325000047683716
1633536902.1293314,231,0.9334999918937683
1633537043.0836823,232,0.9311000108718872
1633537184.09299,233,0.9336000084877014
